user_screen_name,created_at,text,hashtags,user_name,user_location,retweet_count,favorite_count
vashishtvp,2023-01-05 10:41:38+00:00,RT @BlueKoolAid12: For every person pitching a fit about Hunter Biden and his laptop…I see you. Let’s also discuss @TerryBranstad the ambas…,[],Er. V P Vashisht,"Kapurthala, Punjab - INDIA",1,0
vashishtvp,2023-01-05 10:41:33+00:00,RT @BlueKoolAid12: Many Iowan farmer knows that @ChuckGrassley @TerryBranstad and Eric Branstad have dirty hands in the #FarmersProtest,['FarmersProtest'],Er. V P Vashisht,"Kapurthala, Punjab - INDIA",1,0
vashishtvp,2023-01-05 10:41:27+00:00,RT @jayancm: @narendramodi sarkar is not serious with internal security. They failed to crack down on #ShaheenBagh it ended up in Delhi rio…,['ShaheenBagh'],Er. V P Vashisht,"Kapurthala, Punjab - INDIA",1,0
vashishtvp,2023-01-05 10:41:20+00:00,"RT @MrOutLawBTC: @DentesLeo Yeah, but that was long time ago. Nowadays the gov can do whatever it wants, the dutch don't gaf anymore🤣
#rutt…",[],Er. V P Vashisht,"Kapurthala, Punjab - INDIA",1,0
vashishtvp,2023-01-05 10:41:08+00:00,RT @jeffkrnj: I reckon a coach and a farmer have the same stress levels #farming #FarmersProtest,"['farming', 'FarmersProtest']",Er. V P Vashisht,"Kapurthala, Punjab - INDIA",1,0
vashishtvp,2023-01-05 10:41:07+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],Er. V P Vashisht,"Kapurthala, Punjab - INDIA",104,0
vashishtvp,2023-01-05 10:41:04+00:00,"RT @_MohitGahlot_: As long as corrupt nexus of capitalists &amp; politicians continues in the country, farmers &amp; laborers, economic &amp; political…",[],Er. V P Vashisht,"Kapurthala, Punjab - INDIA",21,0
vashishtvp,2023-01-05 10:40:58+00:00,RT @dotnagpur: @kartikey__04 @narendramodi @allindiatweets_ @AllIndiaBakchod @allindiamemes @AmitShah nationwide mass/chain agitations like…,[],Er. V P Vashisht,"Kapurthala, Punjab - INDIA",1,0
vashishtvp,2023-01-05 10:40:57+00:00,"RT @_shriraj: Modi government Promised to Double Farmers' Income by 2022 but Farmers' Income has actually Reduced

#FarmersProtest #kisanan…",['FarmersProtest'],Er. V P Vashisht,"Kapurthala, Punjab - INDIA",1,0
vashishtvp,2023-01-05 10:40:53+00:00,RT @PratsahaySahay: @LiveLawIndia We rember #SupremeCourt role in #ShaheenBagh and #FarmersProtest and its aftermath the hindu killings in…,"['SupremeCourt', 'ShaheenBagh', 'FarmersProtest']",Er. V P Vashisht,"Kapurthala, Punjab - INDIA",2,0
vashishtvp,2023-01-05 10:40:01+00:00,RT @9_anand_9: we have entered the era of land and fiscal terrorism (jehad) aided by political class and judiciary. Its that's easy to take…,[],Er. V P Vashisht,"Kapurthala, Punjab - INDIA",1,0
vashishtvp,2023-01-05 10:39:55+00:00,"RT @WhatsAppLaws: @IMPraveenDalal @P4LOIndia Modi govt paddles lies, #Jumlabaazi and narratives. Has any of the promises made by it to #Ind…",['Jumlabaazi'],Er. V P Vashisht,"Kapurthala, Punjab - INDIA",4,0
